GeneID	GSM3098174	GSM3098175	GSM3098176	GSM3098177	GSM3098178	GSM3098179	GSM3098180	GSM3098181	GSM3098182	GSM3098183	GSM3098184	GSM3098185	GSM3098186	GSM3098187	GSM3098188	GSM3098189	GSM3098190	GSM3098191	GSM3098192	GSM3098193	GSM3098194	GSM3098195
100287102	0	0	0	0	0	0	0	0	0.1382	0	0	0	0.1474	0	0	0	0	0	0	0	0	0
653635	25.54	20.47	31.22	36.77	32.4	38.23	21.65	30.91	22.46	37.1	19.68	14.57	26.01	27.08	17.45	21.33	26.32	23.08	25.27	20.22	33.68	30.95
102466751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0.2241	0	0.1913	0	0	0.1948	0	0.2021	0	0	0	0	0.2292	0	0.2271	0.553	0.2258	0	1.055	0.2476	0
79501	0	0.2759	0.7915	0.2354	0.2904	1.85	0.7194	1.596	0.2488	1.162	0.6116	0.312	1.061	1.411	1.501	0.5592	3.063	0.2779	2.803	1.299	2.133	0.6895
100996442	0	0	0	0	0	0	0	0	0	0	0.05736	0	0	0	0	0	0	0	0	0	0	0
729737	0.6029	0.2313	0.7521	0.9475	1.023	0.9306	1.367	1.739	0.7926	0.7797	0.7692	0.2093	0.8894	1.845	0.9065	2.204	0.6278	0.9321	0.4113	0.9256	0.3577	0.9251
102725121	0	0	0	0	0	0	0	0	0	0	0	0	0.1515	0	0	0	0	0	0	0	0	0
102723897	5.857	4.746	9.902	14.73	16.35	24.43	8.376	11.23	20.23	35.14	4.463	3.252	6.774	11.32	9.079	10.35	14.73	16.37	11.14	6.77	19.86	17.43
102465909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268260	0	0	0.03673	0	0	0	0	0.03703	0	0	0	0	0	0	0	0.03893	0	0	0	0	0	0
729759	0.2197	0.2697	0.5159	0.4603	0.5678	0.6028	0.7033	0.52	0	0.2841	0.299	0.305	1.296	0.2758	0.5871	0.5467	0	0	0.3425	0.9522	0	0.3371
100132287	0.3304	0.1159	0.6651	0.9891	0.9761	1.36	0.7556	0.6145	0.3135	0.6715	0.4497	0.1311	1.003	0.5334	1.009	1.233	0.286	0.5838	0.2208	0.2046	0.5121	0.1448
105378947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81399	0.03569	0.08763	0.0838	0.07478	0.09225	0.09792	0.07617	0.1267	0	0.04615	0.09713	0.04955	0.1685	0.04481	0.09538	0.0444	0	0	0	0.1547	0.0484	0.05476
100133331	0.2414	0.05927	0.4534	0.9104	0.3743	1.921	0.9274	0.3999	0.481	0.1249	1.051	0	0.2848	1.091	0.7742	1.141	0.07312	0.3582	0.3011	0.1395	0.06547	0
107984841	13.81	4.102	14.91	13.77	15.83	20.78	14.5	15.03	5.179	9.794	6.973	3.093	5.521	12.59	20.24	16.08	7.76	4.684	6.946	9.012	5.438	9.228
107984847	25.94	17.23	22.47	28.07	28.58	34.43	53.56	40.27	11.77	13.75	23.15	19.49	21.58	36.31	71.62	40.75	12.24	11.57	23.21	24.58	10.38	4.568
107984849	2.21	0	10.38	20.07	28.56	51.55	55.04	73.24	15.5	34.3	0	0	3.478	21.27	46.27	15.58	16.74	15.49	22.97	15.97	2.997	1.13
100288069	8.125	3.879	12.9	23.96	18.08	27.25	29.38	54.85	10.66	11.09	3.686	1.462	6.215	19.65	21.11	17.22	12.08	8.374	26.51	12.61	1.836	1.616
105378580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
