GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
100287102	0.295	0.3841	0.7068	1.029	0.6054	0.3657	0.5041	0.9265	1.067	1.322
653635	12.7	13.1	20.34	22.82	22.28	12.69	14.29	25.17	29.33	27.02
102466751	11.15	9.33	21.85	18.75	11.77	15.55	9.623	18.42	19.83	18.07
107985730	0.2013	0	0.1973	0.158	0	0.1872	0.1106	0	0.1928	0
100302278	0.3924	0	0	0	0	0	0	0	0	0
645520	0	0	0	0.07522	0	0	0	0	0.03059	0
79501	0	0	0	0	0	0	0	0	0	0
100996442	0.4868	0.6781	1.366	1.112	0.8583	0.4115	0.547	1.194	0.8335	0.8789
729737	0.7716	0.526	1.377	1.281	1.425	0.5151	0.8803	0.9151	1.345	0.9978
102725121	0.2696	0.4252	0.6606	1.031	0.7468	0.3446	0.5553	0.6061	1.011	0.9772
102723897	14.02	15.13	24.05	24.95	27.37	13.41	15.94	30.02	32.33	26.52
102465909	6.371	7.895	10.93	15	17.65	7.404	5.249	12.28	11.69	12.05
107985721	0.1001	0.05411	0.03923	0.09423	0	0.01861	0.04397	0	0.0511	0.07569
112268260	0.1232	0.1332	0.322	0.2643	0.3944	0.1146	0.1895	0.3799	0.2517	0.2485
729759	0.2883	0.4158	0.113	0.2263	0.426	0.2145	0.2534	0.1482	0.1105	0.3635
100132287	0.8922	1.173	1.895	2.237	1.922	0.8411	1.511	2.006	1.788	1.937
105378947	0.06933	0.04166	0.04531	0.01814	0.08537	0.02149	0.127	0	0.1771	0
101928626	0.06786	0.06116	0	0.05326	0	0.06309	0	0	0	0.1711
113219467	437	690.1	559.2	323.2	726.9	663	689.6	523.2	369.6	429.8
81399	0.1874	0.3884	0.2755	0.2279	0.3115	0.2091	0.2676	0.3129	0.3349	0.3189
100133331	0.9631	1.382	1.913	2.089	2.06	1.096	1.824	2.084	2.33	2.093
107984841	1.813	2.53	4.929	3.121	3.672	2.392	3.148	3.456	3.435	3.613
107984847	4.131	6.742	10.29	9.639	8.661	4.568	5.397	6.885	11.33	10.42
107984849	1.741	3.835	4.17	3.339	2.858	2.158	2.337	3.479	4.198	4.389
100288069	3.476	5.233	10.07	8.214	7.149	3.929	5.597	11.98	8.094	8.117
105378580	0.8853	1.387	4.029	5.699	3.621	1.088	1.216	5.227	6.883	5.634
400728	0.6964	0.7281	2.566	2.492	2.264	0.9065	0.5508	3.149	3.272	2.669
79854	1.439	1.927	4.755	2.549	3.645	1.415	1.716	3.169	2.835	3.473
643837	1.05	2.188	1.276	3.958	2.578	1.292	1.881	1.597	4.905	3.527
107984850	0	0.01989	0.1298	0.05195	0	0	0.02424	0.0567	0.09861	0.05564
284593	0.03174	0.1144	0.1867	0.02491	0.1172	0.05903	0.03487	0	0.2229	0.5603
284600	0	0	0.02751	0	0	0	0	0	0	0.0177
100130417	0	0	0	0	0	0.03343	0	0	0	0
107985728	0	0.02677	0	0	0	0	0	0	0	0
148398	5.866	10.42	2.117	2.094	1.486	5.435	8.166	1.905	2.38	2.083
26155	56.68	102.8	18.33	18.65	21.04	55.54	83.42	20.24	20.38	20.06
339451	3.949	6.776	3.045	4.552	7.691	4.486	7.153	4.628	6.161	5.521
84069	0.1352	0.4752	0.106	0.2441	0.6992	0.2263	0.3565	0.2432	0.2244	0.1193
84808	0.02996	0.027	0	0.03527	0	0.01393	0.03291	0.03849	0.009563	0
57801	0.423	0.4321	0.2764	0.6419	0.5209	0.4196	0.2479	0	0.8103	0.1422
9636	74.55	56.85	28.66	42.9	83.84	42.92	37.45	20.75	28.06	28.72
375790	3.371	5.086	1.424	1.26	1.501	2.819	7.401	1.883	1.37	1.537
100288175	14.62	12.13	1.744	2.923	2.464	8.478	11.73	0.5714	1.349	1.752
112267874	1.162	1.083	1.571	2.295	1.332	0.9686	0.9904	0.5148	0.6267	0.6062
105378948	3.579	3.092	1.527	3.406	2.055	2.621	3.402	1.144	2.119	1.637
401934	0.1425	0.1798	0	0.02237	0	0.106	0.1566	0.2929	0	0.07187
54991	5.433	10.8	5.456	7.357	8.636	5.072	7.118	6.064	7.164	6.766
254099	0.1337	0.2109	0.9174	0	0	0	0	2.405	0.04268	0.1264
406984	0	0	0	0	0	0	0	1.465	0	0
406983	0	0	1.179	0	0	0	0	0	0	0
554210	0	0	2.558	0	0	0	0	8.382	0	0
100506376	0	0	0.1017	0	0	0	0.01425	0.1999	0	0.01635
254173	0.08823	0.01136	0.09884	0.02968	0	0.02344	0.05539	0.06478	0	0.06357
8784	12.17	30.37	1.339	0.1038	1.14	13.16	39.18	3.568	0.1266	0.4446
