GeneID	GSM3729250	GSM3729251	GSM3729252	GSM3729253	GSM3729254	GSM3729255	GSM3729256	GSM3729257	GSM3729258	GSM3729259	GSM3729260	GSM3729261	GSM3729262	GSM3729263	GSM3729264
100287102	0.2143	0.2924	0.2218	0.154	0.2162	0.2682	0.2323	0.1883	0.1181	0.07097	0.09767	0.1254	0.0619	0.1026	0.08938
653635	36.61	34.6	35.24	33.06	33.46	35.17	27.44	27.19	27.04	32.34	27.95	31.86	27.55	28.59	30.26
102466751	33.96	37.3	38.31	27.44	33.81	44.53	30.54	30.39	32.99	21.55	17.97	54.51	19.55	19.93	39.39
107985730	0.06267	0.03741	0.03783	0.07884	0.08297	0.09152	0.08392	0.04131	0.04532	0.03632	0	0.08558	0	0.03937	0
100302278	0	0	0.1475	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0.01967	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.2583	0.6046	0.682	0.8363	0.5518	0.8753	0.3598	0.2815	0.2441	0.543	0.3815	0.6397	0.4472	0.4414	0.3879
729737	1.648	1.629	1.829	2.022	1.892	2.429	1.105	0.95	0.9443	1.221	1.183	1.644	1.155	1.161	1.372
102725121	0.01049	0.07515	0.03799	0.05279	0.02778	0.04596	0.01405	0.04149	0	0.02432	0	0.02865	0.02545	0.01318	0
102723897	36.97	35.41	35.05	33.77	35.03	35.72	27.69	27.94	28.37	31.57	28.23	33.02	27.73	29.83	30.08
102465909	11.9	12.14	13.47	10.29	11.49	15.57	11.95	11.44	8.606	8.908	6.78	16.25	6.015	7.164	14.27
107985721	0.03115	0.07439	0.04513	0.01567	0.008248	0.0182	0.02503	0.008213	0	0.02166	0.008519	0.02552	0	0.03131	0.03118
112268260	0.06137	0.06411	0.08026	0.1383	0.1185	0.1158	0.04109	0.05393	0.04808	0.09188	0.08741	0.3247	0.05894	0.0514	0.2879
729759	0.01795	0.02144	0	0.02258	0.02377	0.07865	0.04808	0.1183	0.05193	0	0	0.02452	0	0	0
100132287	3.491	3.418	3.731	3.771	3.524	4.54	2.438	2.329	2.087	2.517	2.252	3.329	2.312	2.486	2.925
