GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
100287102	0.374	0.3369	0.3419	0.2873
653635	33.46	32.37	38.2	32.7
102466751	19.99	18.42	30.45	21.94
107985730	0	0	0	0
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	0.7953	0.8103	1.782	1.219
729737	4.65	4.588	13.38	9.019
102725121	0.1922	0.1732	0.1952	0.1688
102723897	34.94	33.34	39.05	32.96
102465909	21.81	18.42	30.45	22.94
107985721	0.04566	0.05142	0.02319	0
112268260	0.05623	0.04221	0.07614	0.05143
729759	0	0	0	0
100132287	4.906	5.047	11.67	7.619
105378947	0.02637	0.02969	0.05356	0.02894
101928626	0	0	0	0
113219467	6247	8597	1.006e+04	9775
81399	0	0	0.03257	0.02346
100133331	6.188	6.399	13.25	9.109
107984841	4.337	4.433	6.234	4.907
107984847	7.261	7.316	9.445	6.991
107984849	1.545	1.739	2.913	1.937
100288069	4.597	4.466	7.689	4.996
105378580	0.3126	0.2979	0.6839	0.5279
400728	0.2225	0.2863	1.001	0.3837
79854	1.173	1.215	2.144	1.39
643837	1.586	1.424	5.987	5.398
107984850	0.02518	0.02835	0.1023	0.02763
284593	0.2535	0.2447	0.8092	0.4372
284600	0.9288	1.082	0.244	0.1055
100130417	0.6564	0.5082	2.5	1.936
107985728	0.3389	0.3625	1.859	1.432
148398	10.7	11.45	9.497	8.036
26155	120.9	122.1	86.4	85.28
339451	27.64	25.05	29.87	23.49
84069	0.4319	0.33	2.758	2.523
84808	0.1025	0.03849	0.486	0.3001
57801	2.832	2.392	2.745	1.872
9636	40.64	39.54	70.83	72.39
375790	43.13	42.12	243.3	190.1
100288175	0.444	0.5714	30.73	30.91
112267874	0.1143	0.103	1.509	1.004
105378948	0.7617	0.953	8.295	7.664
401934	0	0.03662	0.1982	0.1071
54991	18.21	18.74	16.77	14.58
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	0.02876	0	0	0.01578
8784	0.05029	0.02832	1.558	1.546
7293	0.03366	0.05685	0.2051	0.09236
51150	117.1	118.2	144.5	149.9
126792	62.82	63.15	60.36	61.12
388581	0.8024	0.5315	2.637	1.761
118424	41.88	42.89	34.88	35.7
101928895	3.919	3.123	1.54	1.907
6339	4.511	3.554	2.075	1.732
116983	25.89	23.25	23.52	18.49
102465434	1.013	1.141	0	0
109623456	13.24	9.939	8.964	8.073
126789	44.41	46.46	29.02	27.52
54973	82.51	83.31	79.98	73.56
102465435	6.653	6.422	8.688	9.389
80772	18.51	20.2	16.4	17.75
83756	0.6509	0.7329	1.67	1.09
1855	43.54	43.08	52.03	49.96
102466740	1.047	2.358	1.064	0
54587	3.751	3.42	6.415	4.944
54998	153.2	167.3	83.89	91.25
81669	76.46	70.84	136.5	101.5
148413	31.74	32.52	18.67	20.64
55052	166.6	175.6	96.2	107.4
107984868	0.03206	0.05415	0.01628	0.0176
441869	0	0.02083	0.03757	0
105378585	0	0.06108	0	0
643965	0	0	0	0
102724312	0	0	0.05255	0
107985729	0.04223	0.09511	0.04289	0
64856	0.1926	0.04646	0.1257	0.07548
219293	4.445	4.465	3.004	2.58
83858	28.03	26.82	22.1	18.09
55210	74.72	77.14	36.78	34.48
339453	0.2684	0.6549	0.5907	0.5892
29101	142.3	144.3	151	172.9
643988	35.57	35.77	23.46	25.32
105378586	6.589	6.811	8.228	5.216
142678	12.83	12.28	16.51	13.38
8510	2.861	3.146	3.655	2.92
984	52.39	48.99	42.74	37.92
728661	44.3	46.46	53.01	48.48
8511	1.909	1.843	4.086	3.368
728642	58.58	53.63	55.71	46.45
9906	22.35	23.67	28.23	24.46
112268218	7.054	6.813	8.77	7.976
65220	41.05	41	46.85	46.02
2782	317.6	321.9	337.2	386
105378949	0.5043	0.8046	0.7257	0.6458
163688	0.8806	0.6818	2.488	1.843
339456	1.916	1.563	0.1342	0.1451
85452	0.0334	0.06581	0.05088	0.01833
107984872	0.4194	0.5468	0.04484	0.02423
105378589	0	0.01465	0.01322	0.01428
2563	0.5906	0.5565	0.04897	0.05292
105378590	0	0.03127	0	0
105378591	0	0	0	0
5590	4.154	4.432	2.272	2.031
100506504	2.416	1.943	1.653	1.948
199990	9.034	9.304	10.48	10
112268219	6.708	6.694	9.162	6.576
105378593	0.4794	0.7423	0.7303	0.9208
6497	36.69	36.02	24.59	21.14
79906	3.068	2.995	2.125	1.717
100129534	1.319	1.888	1.117	0.724
11079	93.2	96.22	99.14	98.78
5192	16.87	17.99	21.84	21.65
9651	0.0467	0.04382	0.06324	0.05126
55229	12.94	14.3	16.66	15.15
388585	0	0	0	0
115110	2.006	1.657	4.469	3.582
8764	7.042	6.791	21.93	18.73
100996583	0.177	0	0.6293	0.09715
127281	7.544	7.532	6.164	6.873
79258	0.5764	0.649	0.491	0.4898
105378597	0	0	0.05976	0
100287898	0.1396	0.1081	0.3279	0.1245
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	0
63976	0	0	0	0
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0.02829	0	0
105378605	0	0	0	0
105378604	0	0	0	0
27237	7.546	7.201	3.65	2.92
1953	7.522	7.218	16.11	12.31
105378608	0.02044	0.1151	0	0
693135	0	0	0	0
105378607	0.312	0.4216	0	0
127262	29.51	32.45	59.4	66.12
49856	50.03	53.29	47.72	44.27
7161	21.87	21.24	6.003	4.954
105378610	0.9993	1.157	0.6089	0.3134
105378609	0.1743	0.3925	0	0.09564
57212	5.81	6.197	5.726	4.875
148870	9.21	8.763	3.107	2.324
388588	8.195	10.81	3.395	1.775
57470	33.5	32.98	31.13	28.89
9731	7.9	7.491	12.15	12.24
1677	4.43	4.614	3.922	3.591
107984910	1.36	1.225	1.464	1.194
339448	15.79	17.26	11.49	10.17
100133612	0.8862	0.7128	1.447	0.7643
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0.0534	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0.8655	0.8681	0.2114	0.1713
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	13.97	13.16	8.463	7.288
8514	196.3	200.2	342.1	353.2
26038	1.399	1.377	0.5096	0.2823
105376687	0	0	0	0
6146	395.5	394.1	219.1	250.2
107985733	8.151	10.24	0.8399	1.037
102724450	4.74	4.601	1.66	1.076
388591	7.093	6.48	2.434	1.629
23463	84.45	84.78	41.91	43.2
148645	1.919	1.271	0.2675	0.2891
390992	0.08702	0	0	0
387509	7.572	7.727	3.169	3.021
11332	51.73	55.5	14.31	16.8
54626	0.08698	0.1306	0.01472	0
83715	5.715	5.307	0.8025	0.6815
100422975	0.9807	0	0	0
8718	10.77	10.17	6.714	4.884
57449	1.004	1.142	0.9568	0.7045
79707	15.65	15.92	12.58	10.96
80835	0.02903	0.01635	0	0
107984912	0	0	0.1407	0
3104	34.75	35.65	61.81	48.36
9903	18.16	19.24	16.8	17.84
107984913	0.09404	0.1412	0.7004	0.3785
148479	18.84	17.61	10.86	12.17
90326	18.47	18.83	17.13	15.7
55735	52.46	51.83	43.36	43.09
100505887	0	0	0	0
110841581	2.127	1.008	0.5684	0.6142
23261	3.463	3.552	1.916	1.828
105376692	0	0	0	0
102725193	0	0	0	0
101928836	0	0	0	0
105376691	0	0	0	0
105376689	1.511	1.585	0.3364	0.2727
9341	45.77	46.83	60.94	70.67
8863	2.95	2.831	3.011	2.8
10911	10.67	10.67	24.15	27.09
3604	0.04497	0.07089	6.677	8.005
11315	282.8	294.7	190.1	216.8
54206	0.6064	0.5708	0.7998	0.755
107984915	0	0	0	0
102724539	0	0	0	0
105376695	0	0	0	0
50651	0.9203	1.173	1.009	0.8241
473	9.29	8.842	12.14	11.45
