GeneID	GSM5239695	GSM5239696	GSM5239697	GSM5239698	GSM5239699	GSM5239700	GSM5239701	GSM5239702
100287102	0.5094	0.7416	0.6884	0.7425	0.234	0.1547	1.239	0.389
653635	36.51	21.01	10.93	15.95	7.066	8.019	20.02	23.61
102466751	40.22	36.03	33.45	30.06	5.685	9.397	30.09	18.9
107985730	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	2.407	2.503	1.801	2.005	0.553	0.8618	0.5789	1.51
729737	4.881	1.716	0.6233	0.6722	0.2119	0.537	0.2013	1.409
102725121	0.9164	0.5082	0.3538	0.7633	0.1604	0.1591	1.959	0.3999
102723897	36.32	20.87	14.21	14.4	5.415	10.45	20.11	14.41
102465909	18.56	12.01	20.91	36.08	3.79	7.518	11.57	4.725
107985721	0	0	0	0.3022	0	0	0	0
112268260	0.351	0.3097	0.3019	0.4341	0.03909	0.1357	0.04774	0.5361
729759	0.224	0.4349	0.3028	0.4354	0	0	0.1676	0.6844
100132287	3.514	1.869	0.7157	0.5614	0.2949	0.3509	0.2161	1.029
105378947	0	0	0	0	0	0	0	0.1371
101928626	0	0	0	0	0	0	0	0
113219467	844.4	782.2	76.08	132.5	85.3	108	59.85	248.9
81399	0.3276	0.3532	0.4427	0.4244	0.02229	0.08844	0.1362	0.4447
100133331	3.151	1.529	0.4658	0.6698	0.1809	0.3589	0.3315	0.8271
107984841	7.724	8.82	4.605	4.415	1.113	1.38	2.55	6.246
107984847	13.88	10.95	4.69	2.529	1.594	2.108	1.623	10.6
107984849	10.52	8.75	3.046	5.841	2.301	1.369	1.124	11.48
100288069	15.04	12.51	10.37	12.53	3.854	4.102	12.86	12.89
105378580	3.972	7.232	5.589	7.242	1.58	2.239	4.993	5.878
400728	2.705	6.722	4.826	2.945	1.193	1.315	3.077	3.306
79854	2.875	2.17	1.295	1.242	0.5871	0.7763	0.478	0.9759
643837	2.962	2.167	2.463	3.188	1.019	1.592	3.273	4.35
107984850	0	0	0	0	0	0	0	0
284593	0	0.2394	0.1667	0.2397	0.2266	0.07491	0	0.1883
284600	0	0	0	0.106	0	0	0.0408	0
100130417	0	0	0	0	0	0	0	0
107985728	0	0	0	0	0	0.1402	0	0.08813
148398	3.291	1.118	1.557	0.7995	0.4032	0.3499	1.662	1.885
26155	31.21	12.89	9.797	10.53	4.3	4.589	14.04	9.556
339451	6.484	2.368	2.603	3.618	0.8651	1.17	1.489	3.04
84069	0.6828	0.102	0.3549	0.1021	0.09653	0.1915	0.2751	0.2407
84808	0.2328	0	0.4719	0	0	0.03535	0	0.2666
57801	7.012	1.701	0.2962	1.065	2.081	1.93	0.9837	1.673
9636	50.86	84.62	34.37	55.2	119.8	127	50.65	58.51
375790	1.967	1.306	0.4198	0.3019	0.6977	0.4403	0.4454	0.9093
100288175	1.08	0.8385	1.459	0	0.6615	0.3936	0.3232	1.32
112267874	0.5448	0.1511	0.5259	0	0.2384	0.09456	0.1747	0.1189
105378948	1.729	0.8391	1.46	0	0.2648	0.4377	0.2695	0.8803
401934	0	0	0	0	0	0	0	0
