GeneID	GSM6251304	GSM6251305	GSM6251306	GSM6251307	GSM6251308	GSM6251309	GSM6251310	GSM6251311	GSM6251312	GSM6251313	GSM6251314	GSM6251315
100287102	0.07162	0.08499	0.0791	0.06963	0.07156	0	0.1362	0.15	0.06817	0	0.1396	0.06266
653635	45.01	43.81	43.43	37.06	35.48	37.48	40.31	41.25	50.23	34.02	30.57	32.71
102466751	41.76	26.84	34.59	16.91	17.38	24.84	47.96	34.61	46.37	26.82	30.52	22.83
107985730	0	0	0.2429	0	0.2197	0	0	0	0.2093	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0.1018	0	0	0	0	0	0	0	0
79501	0.1289	0	0	0	0	0	0	0	0	0	0	0
100996442	0.3868	0.4016	0.6675	0.282	0.4106	0.2157	0.2987	0.3037	0.2071	0.2236	0.2591	0.4442
729737	1.037	1.129	1.504	0.9666	0.9718	0.9452	0.7191	0.9731	1.173	0.733	0.6529	0.9644
102725121	0	0.08737	0	0.07157	0.07356	0	0	0.1542	0.07008	0	0.07174	0.06441
102723897	41.32	43.93	38.66	32.53	32.36	32.32	33.4	36.58	42.08	27.69	26.38	29.57
102465909	12.18	10.32	11.53	8.457	6.954	7.764	14.89	7.287	16.56	7.152	11.87	6.089
107985721	0.1312	0.1038	0.04829	0.04251	0.04369	0.1171	0.04156	0.2289	0.1249	0.04493	0.1278	0.07651
112268260	0.08972	0.08518	0.07928	0.06978	0.1434	0.08008	0.1365	0.07516	0.05124	0.09221	0.06995	0.157
729759	0.126	0	0	0	0.1259	0	0	0.1319	0	0	0.1228	0
100132287	2.003	2.024	3.229	2.079	1.948	2.223	1.621	1.758	2.629	1.503	1.583	2.274
105378947	0.0505	0	0.1115	0	0.05045	0	0	0.05287	0.04806	0	0	0
101928626	0	0	0	0.1441	0	0	0.1409	0	0	0	0	0
113219467	105	116.7	215.3	103.7	54.95	179.9	256.6	198.9	578.9	231.2	233.8	140
81399	0.04094	0.07287	0.06782	0.0995	0.06136	0.01827	0.01946	0.04286	0	0.06311	0.07979	0.03582
100133331	3.35	3.483	5.505	3.284	3.403	3.682	2.895	2.928	4.032	2.476	2.725	3.44
107984841	6.133	6.217	10.58	6.459	6.511	5.701	4.129	4.816	6.202	3.808	4.856	5.701
107984847	5.123	7.237	11.05	7.826	6.094	5.007	3.71	6.13	6.269	5.766	3.566	6.19
107984849	3.38	2.507	5.134	2.465	5.911	2.263	1.205	2.655	3.218	1.737	2.059	2.218
100288069	4.142	3.789	6.863	4.614	5.174	3.543	4.02	3.795	3.779	4.434	4.877	3.473
105378580	0.1612	0.2186	0.2035	0.1343	0.4602	0.3083	0.08756	0.2411	0.2411	0.1183	0.1346	0.1209
400728	0.1826	0.5056	0.605	0.4142	0.4257	0.1086	0.4628	0.1912	0.5214	0.3753	0.4151	0.426
79854	0.3593	1.173	1.091	0.524	0.7181	0.6414	0.7686	0.9406	1.026	0.3693	0.1751	0.8646
643837	2.947	2.798	3.227	1.993	2.189	1.795	2.814	2.898	2.317	1.712	1.561	1.906
107984850	0	0	0	0	0	0	0	0	0	0	0	0
284593	0	0.0823	0.1532	0.1348	0	0.06189	0	0	0.06601	0	0.06758	0
284600	0.4293	0.7278	0.9145	0.1193	0.2145	0.2737	0.379	0.4495	0.3795	0.2521	0.3586	0.4561
100130417	2.985	3.729	3.297	2.673	2.041	2.945	2.539	2.139	4.113	2.261	2.297	2.131
107985728	3.31	4.621	2.473	3.723	2.853	2.838	3.763	3.839	5.158	2.668	2.403	2.839
148398	24.57	28.39	26.52	21.32	22.79	22.59	24.85	24.42	35.81	22.59	17	21.5
26155	142.5	150.1	136.4	134.1	137.6	123.4	146.9	157	173.8	141.8	135.9	148.1
339451	10.07	11.95	9.451	7.301	6.457	6.605	9.232	9.64	12.72	5.491	5.946	7.897
84069	0.5317	0.8063	0.7504	0.2585	0.3247	0.5009	0.5616	0.4949	0.5343	0.2429	0.1439	0.1809
84808	0.06545	0.03884	0.1084	0.1909	0.0981	0.08762	0.06222	0.06854	0.0623	0.03364	0.06378	0.0859
57801	1.232	0.8775	1.089	2.816	2.278	2.09	1.816	2	1.701	2.533	4.023	3.127
9636	57.2	67.89	80.41	87.57	95.2	108.6	43.79	76.04	85.39	74.83	107.7	117.3
375790	20.03	27.24	23.54	19.98	25.73	20.09	20.01	20.82	27.51	19.11	18.43	20.38
100288175	1.701	2.883	1.073	2.952	3.034	2.493	1.155	0.8903	1.387	1.373	2.367	2.976
112267874	0.08754	0.1039	0.145	0.4681	0.3499	0.3906	0.1248	0.04583	0.125	0.1799	0.1706	0.2298
105378948	0.5267	0.8174	0.716	0.6696	1.053	0.7955	0.3466	0.5515	0.5785	0.3748	0.5528	0.6381
401934	0	0	0	0.787	1.867	0.8892	0	0	0	0.384	0.7888	0.7083
54991	11.77	15.59	15.26	11.82	10.6	11.37	11.05	11.87	15.79	8.449	9.955	10.26
254099	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	1.386	0	0	0	0	0	0	0	0
100506376	0	0	0	0.05509	0.02831	0	0	0	0	0	0.05522	0
254173	0.02754	0.03268	0.03042	0.4819	0.3027	0.4424	0	0.02884	0	0.05661	0.2952	0.2891
8784	0.1445	0.3429	0.3191	1.732	0.866	1.504	0.04577	0.2521	0.1375	0.8908	1.079	1.432
7293	0.1611	0.07649	0.178	0.3447	0.161	0.1438	0.03064	0	0.1534	0.1325	0.3141	0.2256
51150	118.1	129	119.6	124.9	123.6	131.1	114.9	124.7	134.7	119.5	120.5	123.4
126792	71.87	71.28	61.73	66.27	63.39	60.75	73.73	71.06	67.45	64.85	55.98	59.41
388581	1.446	1.18	0.6988	0.703	0.6322	0.3226	0.8592	0.5678	1.204	0.4644	0.2642	0.4745
118424	52.1	52.22	46.94	49.28	45.47	45.4	43.18	43.13	49.57	39.64	38.57	41.27
101928895	1.699	3.025	1.486	1.652	1.273	1.959	1.346	2.891	2.763	0.8732	0.8279	1.425
6339	2.053	2.437	1.84	1.619	1.974	1.936	1.915	2.069	2.139	1.672	1.737	1.39
116983	20.6	21.42	16.47	17.48	15.22	14.04	21.44	22.73	26.32	16.02	18.34	17.36
102465434	1.94	0	2.142	1.886	1.938	0	1.844	2.031	1.846	0	0	0
109623456	16.9	15.04	12.45	23.28	11.26	8.799	24.1	20.65	20.11	18.82	13.73	14.79
126789	40.47	39.08	34.7	29.57	29.64	31.78	34.09	36.76	45.22	28.5	28.82	27.05
54973	97.11	109.1	92	90.56	89.39	88.8	91.25	96.88	107.6	84.73	81.57	85.13
102465435	25.48	28.08	20.1	19.47	14.55	16.24	22.49	24.78	32.92	22.45	17.74	15.93
80772	21.24	18.19	20.11	11.2	9.446	11.39	16.68	18.29	18.48	8.517	7.696	7.897
83756	2.099	1.168	1.268	1.371	0.6227	0.9075	1.091	1.03	1.062	0.9439	0.9908	0.8035
1855	46.47	46.28	41.51	43.01	37.27	34.74	48.18	56.77	61.21	39.57	40.76	41.21
102466740	2.005	9.519	2.215	5.849	4.007	1.79	5.719	4.199	13.36	2.061	5.862	5.263
54587	2.957	2.987	3.562	3.326	2.368	2.072	2.555	2.738	3.512	1.682	2.619	1.582
54998	141.9	150.9	146.8	127.9	134.7	141.2	146.6	160.8	198.8	128.5	131	141.7
81669	72.28	71.42	65.17	55.52	49.36	52.8	57	52.07	61.08	43.98	45.01	48.24
148413	35.67	39.52	39.4	32.11	28.2	35.22	36.8	38.27	45.94	33.32	31.2	31.21
55052	184.9	182.5	185.1	159.6	166.5	164	166.1	188.4	207.5	162.3	150.9	174.4
107984868	0	0	0.03391	0	0	0	0	0	0	0	0	0
441869	0	0	0	0.03444	0	0	0	0	0	0	0	0
