GeneID	GSM6855732	GSM6855733	GSM6855734	GSM6855735	GSM6855736	GSM6855737	GSM6855738	GSM6855739	GSM6855740
100287102	0.08091	0.07647	0	0.09093	0.1737	0.07754	0.0827	0.08632	0
653635	30.15	26.28	31.75	43.22	34.23	38.74	30.89	26.6	25.41
102466751	13.76	9.289	14.37	24.3	10.55	32.02	26.12	10.48	27.38
107985730	0	0	0	0.2792	0	0	0	0	0
100302278	0	0	0	1.089	0	0.9282	0	0	0
645520	0	0	0	0.1329	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0
100996442	1.093	1.162	0.8733	1.719	1.525	1.23	0.5304	0.845	1.06
729737	6.911	7.523	6.714	5.708	6.632	5.944	4.093	3.751	3.669
102725121	0.08318	0.07861	0	0.09348	0	0.07971	0.08501	0.08873	0
102723897	25.88	23.89	31.69	39.67	31.21	37.31	32.12	27.29	27.79
102465909	11.79	5.573	7.183	11.05	4.221	11.3	20.09	12.58	11.74
107985721	0.0494	0	0	0	0	0	0.05049	0.0527	0
112268260	0.1216	0.05748	0.03704	0.09114	0.1306	0.03886	0.1451	0.3028	0.2421
729759	0	0	0.13	0	0	0	0	0	0.1416
100132287	14.56	14.97	12.63	13.51	14.15	12.96	6.628	7.896	6.513
105378947	0.1712	0.1078	0.05212	0.2565	0.06125	0.05467	0.05831	0.1217	0.1135
101928626	0	0	0	0	0	0	0	0	0
113219467	1455	1564	959.6	918.3	1207	1099	1089	1091	801.8
81399	0.06938	0.2186	0.06338	0.1819	0.2979	0.133	0.02364	0.09868	0.06903
100133331	16.36	14.69	14.03	15.36	17.73	16.73	7.226	7.976	6.941
107984841	22.09	21.01	16.75	25.14	25.26	20.47	8.852	13.55	10.77
107984847	24.25	24.48	13.85	26.95	27.81	22.98	8.169	13.52	11.52
107984849	9.07	9.023	8.286	15.02	13.84	11.44	6.343	6.111	5.7
100288069	7.117	8.201	8.728	13.15	10.26	10.09	5.281	4.264	5.53
105378580	1.873	1.377	1.711	1.754	1.927	1.62	1.409	2.165	2.045
400728	4.332	4.289	3.58	2.241	3.027	3.624	1.546	2.054	1.437
79854	2.334	1.727	1.947	2.053	2.288	1.556	1.66	1.408	3.333
643837	22.48	22.37	21.15	17.72	17.17	16.45	10.89	9.004	10.62
107984850	0	0.05148	0	0.2449	0	0	0.05567	0.2324	0
284593	0.4701	0.4443	0.3579	0.08805	0.3365	0.3754	0	0.2508	0
284600	0.03465	0	0.03165	0.03894	0	0.0332	0.03541	0	0
