GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
100287102	0.2059	0.3694	0.129	0.05795	0.1858	0.06672	0.06089	0.2245	0.3433	0.1996	0.2428	3.04	0.7664
653635	2.243	4.37	5.06	5.898	6.333	3.552	7.448	4.542	6.412	5.405	4.082	36.27	23.62
102466751	0	1.496	1.567	1.408	2.257	0	4.437	0	1.668	1.616	0	18.47	15.96
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0.09726	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.09267	0.2702	0.3484	0.3912	0.3763	0.3153	0.5549	0.3536	0.4635	0.6737	0.3483	3.942	2.181
729737	0.1243	0.3716	0.1752	0.4547	0.2803	0.3423	1.672	0.5871	0.8495	1.044	0.4214	33.28	14.6
102725121	0.3528	0.3798	0.1326	0.05957	0.191	0.06859	0.06259	0.3077	0.4941	0.2052	0.312	3.339	1.013
102723897	2.64	5.43	5.204	6.088	6.013	4.006	8.225	4.281	7.085	6.366	3.702	38.12	26.29
102465909	0	1.496	1.567	1.408	2.257	0	2.958	0	1.668	1.616	0	15.11	13.3
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0.06684
112268260	0.0172	0.06171	0.09698	0.08712	0.09311	0.06687	0.1068	0.05624	0.1376	0.1167	0.07605	0.3636	0.192
729759	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	0.07784	0.2328	0.1707	0.5038	0.3161	0.2522	1.036	0.396	0.7527	0.4527	0.2295	18.52	9.685
105378947	0	0.04341	0	0.08171	0	0	0	0	0	0	0	0.09744	0.2316
101928626	0	0	0	0	0	0.1381	0	0	0	0.1377	0	0	0
113219467	2241	2311	2576	2678	2233	2759	2384	2345	3169	3565	2458	5693	2899
81399	0	0.0176	0	0.01656	0	0	0	0	0.01962	0.01901	0.01735	0.079	0.06259
100133331	0.0796	0.3095	0.2993	0.6721	0.2873	0.3353	1.2	0.4339	1.035	0.4115	0.2582	19.72	11.09
107984841	0.1224	0.3295	0.3453	0.5169	0.3315	0.119	1.412	0.5339	0.7349	0.9495	0.3249	18.49	11.52
107984847	0.7013	0.8389	0.6592	1.776	0.6328	0.6818	3.526	0.7645	2.105	1.36	0.2068	27.54	16.04
107984849	0	0.3633	0.3806	0.3419	0.5481	0	1.437	0.4414	1.215	1.178	0.3582	15.08	7.752
100288069	0.0827	0.2968	0.2332	0.4189	0.3358	0.3216	1.247	0.2705	0.8273	0.481	0.2194	7.161	6.86
105378580	0.2427	0.198	0.2696	0.2795	0.3584	0.3003	0.2153	0.2406	0.1545	0.2353	0.2537	0.5554	0.6689
400728	0.2333	0.157	0.3289	0.04924	0.3158	0.5103	0.1552	0.2543	0.175	0.4523	0.2579	0.411	1.117
79854	0.1722	0	0.08092	0.1454	0.1165	0.2511	0	0.09385	0.08612	0.3338	0.2284	1.04	0.824
643837	2.235	1.972	1.962	2.188	2.061	1.54	1.896	1.794	1.953	2.202	2.194	1.298	2.116
107984850	0	0	0	0	0	0	0.04099	0	0	0	0	0.1396	0
284593	0.1329	0.1192	0.1249	0.1122	0.1799	0.06461	0.1179	0	0.2659	0.1933	0.1176	0.4015	0.106
284600	0.02939	0.02637	0	0	0.03978	0	0.05214	0	0	0.02849	0	0.1184	0
100130417	0	0	0	0	0	0	0	0	0	0	0	0	0
107985728	0	0	0	0	0	0	0	0	0	0	0	0	0
148398	0.8868	1.034	0.8335	0.8985	1.861	0.6897	1.219	0.9184	1.286	0.5588	1.294	1.83	3.466
26155	26.94	24.72	23.11	34.03	32.17	15.59	29.84	21.56	25.92	20.25	25.68	40.62	87.58
339451	0.2422	0.4035	0.3577	1.022	0.6556	0.3027	0.7366	0.3017	0.623	0.436	0.3366	4.981	5.464
84069	0.1132	0.0508	0.1064	0.1673	0.2682	0.1927	0.3516	0.4012	0.1133	0.1372	0.07512	0.6271	0.542
84808	0	0.02814	0	0.02648	0.04245	0.03049	0.1113	0.06838	0.03138	0	0.05548	0.06316	0.05003
57801	0.05905	0.106	0.0555	0.04986	0.2398	0.05741	0.1048	0.1931	0.1181	0.1717	0.1045	0.2973	0.1884
9636	31.33	70.42	8.867	20.59	56.86	39.63	34.9	244.1	44.34	15.36	45.18	31.72	30.1
375790	10.83	16.98	11.99	20.29	31.55	21.24	20.79	42.1	19.37	14.7	19.94	1.391	11.08
100288175	1.397	1.775	1.204	1.474	2.206	1.019	0.4131	0.6345	2.096	3.047	2.368	0.2344	0.7428
112267874	0	0.07526	0	0.03541	0.05677	0	0	0	0.04196	0.122	0.0371	0	0
105378948	0.3495	0.209	0.292	0.2295	0.473	0.302	0.06889	0.08466	0.6215	0.7528	0.6182	0.1173	0.1858
401934	0	0	0	0	0	0	0	0	0	0	0	0	0
54991	0.6993	1.338	0.7011	1.653	1.893	1.042	2.812	2.439	1.446	0.5875	1.773	2.816	5.355
254099	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	0	0	0	0	0.08663
254173	0	0	0	0.02228	0	0	0	0	0	0	0	0	0
8784	0.9229	2.443	3.86	1.442	5.247	10.45	1.678	7.496	2.862	3.757	3.306	0.09292	0.07362
