GeneID	GSM7497535	GSM7497536	GSM7497537	GSM7497539	GSM7497540	GSM7497541	GSM7497542	GSM7497543	GSM7497544	GSM7497546	GSM7497547	GSM7497548	GSM7497550	GSM7497551	GSM7497552	GSM7497553	GSM7497554
100287102	0.1761	0.1888	0.1627	0.1219	0.3744	0.307	0.2497	0.4139	0.2589	0.5759	0.3141	0.6454	0.7934	0.787	0.4313	0.6749	0.4389
653635	36.48	38.47	30.7	33.33	30.97	29.53	28.37	19.65	26.48	42.4	29.71	27.68	35.9	35.72	26.65	20.56	25.41
102466751	38.51	37.61	26.69	30.61	38.2	40.48	41.45	16.76	33.55	39.64	33.8	25.76	28.91	36.33	21.83	21.52	16.48
107985730	0.1352	0	0.1249	0.1248	0.115	0.1346	0	0	0	0.1474	0	0	0.1218	0.1208	0	0.1295	0
100302278	0	0.452	0	0	0	0.5249	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.9513	1.083	0.7279	0.7684	1.643	1.969	1.096	0.8033	1.311	0.8748	0.818	0.9181	0.9374	1.116	0.7521	0.9968	0.5522
729737	3.734	4.341	3.843	3.3	5.852	6.193	6.417	4.778	4.766	2.694	2.235	3.144	3.316	3.622	3.948	4.94	2.986
102725121	0.04527	0.1164	0.08365	0.04179	0.6157	0.4959	0.4705	0.7091	0.6211	0.444	0.2307	0.6634	0.9788	1.011	0.4433	1.127	0.5332
102723897	41.06	42.4	34.47	35.43	38.24	37.02	32.05	23.94	33.07	42.86	29.97	27.81	41.27	37.58	28.39	21.69	29.6
102465909	19.26	19.26	16.8	16.79	15.46	14.91	16.17	7.541	13.63	22.15	14.17	12.32	14.46	18.16	13.97	8.199	10.66
107985721	0.02688	0.0461	0.02484	0	0.04571	0.02677	0	0.02106	0	0.0293	0	0	0.02422	0.02402	0	0	0
112268260	0.1986	0.246	0.1733	0.1732	0.2064	0.1758	0.1668	0.1815	0.1189	0.2886	0.1912	0.231	0.06958	0.138	0.1351	0.08456	0.03999
729759	0	0	0	0	0	0	0	0.06068	0	0	0	0.0811	0	0	0	0	0
100132287	4.611	5.024	4.445	3.949	6.283	6.498	6.434	3.833	4.91	4.082	2.918	3.416	3.629	3.555	3.79	3.492	2.715
105378947	0.1552	0.1065	0.05737	0.05732	0.132	0.06184	0.1174	0.1216	0.09128	0.1353	0.06328	0.195	0	0.02774	0	0.05949	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	8078	8646	7805	8850	9613	9128	6307	8897	8928	8971	7591	8326	1.147e+04	1.028e+04	9532	1.017e+04	1.098e+04
81399	0.06293	0.02158	0.01163	0.04647	0.0428	0.01253	0.02379	0.03943	0.02467	0.01372	0.01283	0.02635	0.04535	0.01125	0.01027	0.01206	0.0114
100133331	4.767	4.978	4.168	4.055	5.225	5.73	5.453	3.427	4.438	4.063	3.123	3.618	3.896	3.97	3.738	3.441	2.854
107984841	7.149	7.814	6.388	5.512	8.415	9.466	7.72	3.569	7.314	5.565	4.163	4.359	5.167	6.107	4.873	4.591	3.132
107984847	11.85	11.83	9.84	10.25	13.64	12.55	10.06	5.874	8.525	11.44	7.796	7.851	8.648	12.46	7.345	11.49	6.251
107984849	6.495	7.351	7.682	4.797	6.626	8.279	6.874	3.256	4.074	5.097	2.912	3.536	4.213	4.179	4.241	4.48	2.589
100288069	3.767	4.186	2.893	3.478	6.992	8.824	4.964	2.41	5.72	4.8	3.461	3.666	2.773	3.935	3.161	2.44	1.634
105378580	1.303	1.105	0.4055	0.9933	1.432	1.283	0.8964	0.7208	1.138	1.111	0.606	0.993	0.7781	0.7464	0.4506	0.5561	0.3079
400728	0.5239	0.5775	0.5878	0.5182	0.6044	0.4472	0.6365	0.469	0.4034	1.183	1.258	0.5484	0.1349	0.3678	0.1832	0.2509	0.3051
79854	0.8285	1.137	1.123	1.683	1.737	1.87	1.566	1.298	1.949	1.385	1.632	1.85	1.045	1.333	0.9917	1.746	0.8508
643837	3.167	2.831	2.191	3.077	3.215	2.872	2.68	4.203	3.011	2.559	1.758	3.728	2.52	2.584	1.968	3.661	2.334
107984850	0	0.07625	0.05478	0	0.1512	0.08856	0	0	0.02905	0.03231	0	0	0.1602	0.1324	0	0.0284	0.02686
284593	0.2985	0.2194	0.197	0.2755	0.4713	0.3822	0.4029	0.8016	0.4179	0.6971	0.2607	0.6249	0.3842	0.4572	0.2784	1.062	0.425
284600	0.01886	0	0.01742	0.01741	0	0.05633	0	0	0.05543	0.02055	0	0.07895	0	0	0	0	0
100130417	0.0483	0.04142	0	0	0.04106	0.0481	0	0.03783	0	0.05264	0	0	0	0	0	0	0
107985728	0	0	0	0	0.01696	0.01987	0	0.04688	0.01955	0	0	0.02089	0.01798	0	0	0	0
148398	1.622	1.537	1.814	1.943	2.007	1.898	2.661	2.563	2.091	1.984	2.232	2.919	1.384	1.398	1.416	2.208	2.139
26155	29.68	30.04	32.38	41.24	37.17	38.13	48.47	40.71	42.07	35.05	33.67	51.62	27.34	26.64	29.03	44.01	36.65
339451	5.083	4.911	4.287	3.115	5.19	5.46	5.097	5.494	3.546	5.468	4.298	8.11	4.14	3.908	3.007	4.849	1.79
84069	0.9627	1.246	2.35	0.7378	0.2162	0.3798	0.8753	0.7967	0.1246	1.089	1.907	3.86	0.1473	0.3408	0.6671	2.436	0.06583
84808	0.1207	0.1898	0.3161	0.1115	0.03422	0.08016	0.1141	0.1419	0	0.1316	0.1025	0.4213	0.01813	0.01798	0.08212	0.2121	0
57801	0.4168	0.8447	1.61	1.154	0.6764	0.4905	1.11	3.442	1.522	0.1239	0.2317	4.601	0.6144	0.6094	1.422	16.77	2.643
9636	34.72	37.41	1324	37.21	42.23	43.33	835.5	28.44	38.95	42.81	1073	26.9	25.72	16.84	537.8	14.11	26.49
375790	3.849	4.114	10.31	18.09	3.63	3.762	9.82	4.031	17.08	5.18	9.222	5.866	3.75	3.967	8.102	4.27	17.1
