GeneID	GSM2090431	GSM2090432	GSM2090433	GSM2090434	GSM2090435	GSM2090436	GSM2090437	GSM2090438	GSM2090439	GSM2090440	GSM2090441	GSM2090442	GSM2090443	GSM2090444	GSM2090445	GSM2090446	GSM2090447	GSM2090448
100287102	0	0.2266	0.1182	0.1154	0.1262	0.1163	0	0.1145	0.1205	0.1431	0.1333	0.1206	0	0.3597	0.4487	0.2847	0	0.1309
653635	12.05	14.81	12.25	18.21	15.21	11.29	15.47	19.13	14.07	14.03	16.68	12.28	20.86	20.15	26.26	21	16.12	16.62
102466751	0	2.752	2.872	2.803	6.134	0	8.814	0	0	3.476	3.238	2.93	11.15	5.825	7.268	6.917	11.23	6.36
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.4117	0.1912	0.4389	0.6232	0.3409	0.314	0.3266	0.4637	0.4474	0.4347	0.5849	0.285	0.8779	1.012	1.161	1.153	0.8842	1.105
729737	1.687	1.299	2.069	3.796	3.658	2.351	1.46	0.9327	3.6	3.152	4.546	2.111	1.847	1.411	3.476	5.198	3.022	2.133
102725121	0	0.2329	0	0.2372	0.1298	0	0	0.2353	0	0	0.137	0.124	0	0.3697	0.6151	0.2927	0	0.1346
102723897	12.2	14.14	11.87	18.51	14.57	10.8	14.86	16	13.11	13.42	17.13	13.35	20.52	20.13	22.59	22.17	13.73	19.4
102465909	0	2.752	2.872	2.803	0	0	2.938	0	0	3.476	3.238	2.93	3.716	2.913	7.268	3.458	0	3.18
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08691	0	0
112268260	0.0764	0.02839	0.02962	0.05783	0.06327	0.02914	0.1515	0.05736	0.09057	0.03585	0.0668	0.03022	0.345	0.06008	0.03748	0.07134	0.07721	0.09839
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	1.652	1.884	1.43	2.574	2.482	2.286	1.554	1.341	1.822	2.326	2.872	2.052	1.735	1.133	2.375	2.691	1.922	1.88
105378947	0.07166	0	0	0	0.08901	0	0.08526	0	0.08496	0	0	0	0.1079	0	0.1055	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	4443	4252	3361	3415	3778	3158	4606	5311	3647	3772	3877	4201	9497	9931	7573	8165	7826	9590
81399	0	0.03238	0	0	0	0	0	0	0	0	0.0381	0	0	0.03427	0	0	0	0.03741
100133331	1.965	2.102	1.691	3.034	2.489	2.428	1.683	1.726	2.516	3.153	3.504	2.331	2.011	1.854	2.66	3.357	2.204	3.036
107984841	1.632	1.213	1.265	1.853	1.802	1.867	1.294	1.225	1.935	1.787	1.665	1.506	2.183	1.497	2.668	1.524	1.924	2.335
107984847	4.154	2.701	4.429	3.93	3.01	4.357	3.295	2.339	9.44	2.924	7.264	2.876	5.211	3.267	6.623	6.303	7.872	6.242
107984849	0	0.6684	0.6974	2.042	0.7448	0.6861	0.7135	0	0.7109	0	1.573	0.7116	0.9026	0.7073	1.765	0.8399	0.9091	1.544
100288069	0.9797	1.502	0.8546	1.39	1.217	0.9808	0.7286	0.6896	0.7259	1.379	1.606	1.163	1.659	0.8668	2.163	2.23	0.7426	1.577
105378580	0.09803	0.1821	0.114	0.3339	0.1624	0.03739	0.2333	0.184	0.155	0.138	0.3429	0.349	0.3443	0.3855	0.2886	0.5035	0.5449	0.3787
400728	0.5182	0.1925	0.2009	0.1961	0.3218	0.09882	0.6166	0.3891	0.4096	0.1216	0.2265	0.205	0.91	0.4075	0.6355	0.7258	0.5237	1.112
79854	0.7649	1.279	0.7414	1.013	0.6334	1.896	0.7584	0	0.3023	0.1795	0.5016	0.9077	0.1919	0.6015	0.7505	1.071	0	0.1642
643837	1.364	1.682	1.142	1.507	2.417	1.498	1.255	1.516	1.337	1.638	1.836	1.338	1.286	1.866	1.847	2.827	2.095	1.827
107984850	0.2053	0.07627	0	0	0	0.07828	0	0	0	0	0.1795	0.08119	5.046	3.148	2.819	3.45	1.452	7.489
