GeneID	GSM2202553	GSM2202554	GSM2202555	GSM2202556	GSM2202557	GSM2202558	GSM2202559	GSM2202560	GSM2202561	GSM2202562	GSM2202563	GSM2202564	GSM2202565	GSM2202566	GSM2202567	GSM2202568	GSM2202569	GSM2202570	GSM2202571	GSM2202572	GSM2202573
100287102	0.8772	0.8515	0.9037	0.8047	1.697	1.645	0.8719	0.6558	0.972	0.4289	0.8609	1.359	1.63	0.3708	0.3381	0.2214	0.3428	0.4229	0.9447	0.2641	0.8413
653635	30.81	44.14	59.45	39.74	50.11	67.7	54.6	45.63	30.74	30.54	66.6	79.43	59.1	76.83	87.82	99.5	57.18	58.48	91.82	50.26	80.3
102466751	25.12	35.69	37.57	36.3	48.3	34.26	35.1	33.31	26.17	36.47	64.84	67.19	55.25	83.07	74.66	112.3	66.62	55.1	80.32	37.79	56.94
107985730	0.0481	0.4101	0.185	0.0706	0.4884	1.042	0	0.3661	0	0.08231	0.1762	0	0.1318	0	0.1887	0.08498	0.2105	0.118	0.1209	0.1802	0
100302278	0	0	0	0.2752	0.6347	0	0	0	0	0	0.3435	0	0.5136	0	0	0	0	0	0	0	0
645520	0.3664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.4019	0.8905	0.8406	1.436	2.067	1.71	0.8997	1.389	1.179	1.05	1.773	2.244	2.477	1.293	2.116	3.587	1.551	1.466	1.847	0.9113	2.028
729737	2.123	8.198	4.103	3.192	13.17	9.071	3.21	4.597	6.486	1.869	8.435	14.48	20.12	5.682	15.68	27.42	9.28	9.015	8.481	4.145	9.122
102725121	1.24	2.025	1.135	0.7799	2.071	0.9933	1.46	1.379	1.728	0.5236	0.8555	1.297	2.073	0.3388	0.3159	0.2276	0.3876	0.5928	1.254	0.1508	1.421
102723897	38.63	55.43	52.45	41.58	65.01	62.96	64.36	45.05	43.84	37.62	61.08	87.71	68.95	89.24	95.49	108.9	72.26	75.05	85.22	53.71	84.28
102465909	19.41	30.42	27.32	20.67	22.54	22.84	17.55	23.9	13.4	28.65	25.1	51.86	33.36	40.03	33.6	61.18	44.97	42.03	33.47	25.67	35.04
107985721	0.06694	0.04077	0.01226	0.04211	0.06474	0.1275	0	0.0728	0.09623	0.03273	0.03504	0.1481	0.02619	0.02515	0.01876	0.08448	0.1884	0.02347	0.02403	0.08958	0.03669
112268260	0.1335	0.2677	0.2164	0.265	0.3587	0.157	0.156	0.08963	0.1514	0.4567	0.302	0.389	0.3978	0.2065	0.4466	0.2912	0.3264	0.3083	0.3057	0.2059	0.1807
729759	0	0	0	0	0	0.09189	0	0	0	0	0	0	0	0	0.05407	0.04869	0.06031	0	0.06925	0	0
100132287	2.908	6.299	4.494	3.885	9.671	5.232	4.595	4.677	5.244	3.456	6.064	13.55	13.8	7.226	14.23	26.42	13.63	10.7	9.597	6.39	12.36
105378947	0.05523	0.02354	0	0.3242	0	0.1841	0	0	0	0.0945	0	0.06842	0.0605	0.05809	0.06501	0.01951	0.02417	0.02711	0.05551	0.02069	0.04237
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	1205	1386	844.3	2408	1845	2907	2247	2148	1258	2279	1830	2665	2663	2982	2112	1672	1793	2404	2469	1948	2132
81399	0.04925	0.1766	0.04592	0.2103	0.007577	0.05225	0.06408	0.1619	0.06007	0.04597	0.123	0.1109	0.1226	0.0471	0.07906	0.174	0.1176	0.09889	0.1237	0.07549	0.0687
100133331	3.289	5.351	5.179	5.271	7.871	5.957	4.748	5.152	4.581	5.006	6.757	13.67	11.4	7.82	13.6	27.05	13.92	10.88	10.23	6.546	12.85
107984841	3.801	6.076	3.511	6.768	10.69	5.311	4.444	4.201	7.499	5.978	6.297	10.73	10.79	9.628	12.12	26.91	14	9.259	10.32	5.759	8.362
107984847	12.54	20.25	14.71	23.49	20.23	23.39	16.29	13.4	15.93	25.93	22.97	37.52	32.01	23.57	36.33	67.4	52.31	29.99	29.76	18.79	22.92
107984849	4.806	6.206	5.806	5.29	10.32	9.553	6.026	5.628	2.79	6.326	7.28	14.6	11.9	7.049	13.06	26.61	15.37	12.02	14.17	6.06	8.155
100288069	1.699	4.889	4.041	7.729	6.772	3.745	4.622	4.059	4.812	5.426	7.192	8.419	8.324	5.758	9.443	18.97	10.29	5.976	6.023	5.339	9.486
105378580	1.284	1.46	1.201	3.001	1.867	1.503	1.866	1.639	0.9123	2.577	1.08	2.044	2	2.013	2.194	2.465	4.221	2.126	1.987	2.114	2.647
400728	1.464	1.319	2.236	2.598	1.645	0.9765	0.381	1.773	0.6921	3.599	1.585	3.051	1.422	2.486	4.153	2.94	5.826	1.633	1.371	2.918	3.013
79854	3.537	2.618	2.192	6.719	2.693	2.49	3.093	2.057	0.8239	4.102	2.52	3.591	2.476	2.894	4.433	4.305	4.902	1.688	1.728	4.196	2.412
643837	4.056	6.151	7.955	6.257	3.761	6.822	7.59	6.443	3.215	6.197	9.355	13.15	7.769	11.54	11.07	13.54	9.734	9.444	10	6.915	9.128
107984850	0	0	0	0	0.2142	0.01758	0	0.04014	0.6544	0	0	0	0.1155	0.02773	0.08276	0	0.02308	0	0.05299	0.03951	0.08091
284593	0.2275	0.2587	0.07779	0.06679	0.4364	0.2782	0.2653	0.2309	0.1272	0.1038	0.3057	0.2819	0.2493	0.07979	0.2678	0.3484	0.1328	0.2234	0.343	0.1137	0.1164
284600	0.02012	0	0	0	0.3178	0	0.05333	0	0	0	0	0.1039	0.01837	0.01764	0.01316	0.03555	0.04404	0	0	0	0
100130417	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04519	0.03371	0.03036	0	0	0.04318	0	0
107985728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148398	2.065	1.888	2.751	3.297	2.963	3.138	1.98	3.775	1.477	0.9179	2.466	4.263	3.964	3.992	3.991	4.756	3.544	3.303	3.713	3.678	3.688
26155	31.45	27.69	42.13	33.1	45.34	36.62	37.54	44.21	32.82	35.87	37.37	60.04	55.61	62.53	62.69	67.19	55.58	47.89	56.32	49.99	56.53
339451	8.789	8.981	10	8.577	8.486	8.834	12.75	8.25	5.735	5.797	13.47	23.26	16.35	18.36	17.31	22.24	17.92	12.02	15.74	12.93	15.96
84069	0.5492	0.3443	0.8698	0.7207	0.6452	0.4524	1.11	0.7009	0.2926	0.3096	0.6392	1.081	1.345	2.056	1.547	1.358	1.188	1.126	1.413	1.344	1.264
84808	0.136	0.04578	0.07342	0.3782	0.07269	0	0.09107	0.06811	0	0.1102	0.06557	0.133	0.1765	0.1883	0.1404	0.1771	0.141	0.1405	0.2158	0.1475	0.05492
57801	0.6604	0.5602	3.283	0	1.437	0.06741	0.9645	1.667	0.2486	0	0.7901	0.6262	0.6276	4.395	1.031	1.81	2.242	0.2646	0.9144	1.237	1.189
9636	211.3	87.38	362.4	53.96	99.41	172.1	109.8	202.1	211.3	41.5	126.6	95.5	135.8	234	110.7	131.5	127.1	63.61	131.4	89.73	145.6
375790	1.229	1.232	2.641	1.052	1.39	2.697	1.803	2.709	1.186	1.406	1.989	3.708	3.079	4.413	4.279	5.834	3.373	1.766	3.56	2.488	3.738
100288175	3.401	0.538	2.078	0.8969	2.113	1.772	1.394	1.921	2.228	1.091	4.235	2.057	1.965	3.913	2.763	5.022	3.314	3.13	3.004	2.19	1.937
