GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
100287102	0.6294	0.4148	0.4183	0.2285	0.1988	0.173	0.2972	0.06303	0.1625	0.1093	0.1036	0.4931	0.08895	0.1902
653635	3.023	6.299	6.618	1.28	4.647	3.84	2.714	3.054	1.197	6.521	4.849	5.489	3.943	5.484
102466751	2.621	3.426	6.533	1.233	6.76	4.946	2.407	2.892	1.755	4.374	4.195	4.209	2.449	2.717
107985730	0.1104	0.02548	0	0.07794	0.02034	0	0	0	0.05545	0	0.01768	0.04093	0	0
100302278	0.2153	0	0	0	0.07931	0	0	0	0	0	0.2756	0	0	0
645520	0	0	0	0	0.04843	0	0	0	0.0264	0	0.06733	0	0	0
79501	0	0	0	0	0.02385	0	0	0	0	0	0.02072	0	0.04269	0
100996442	0.3339	0.168	0.06051	0.2485	0.1342	0.07216	0.1728	0.05674	0.1097	0.03473	0.05829	0.108	0.03003	0.03776
729737	0.04885	0.1803	0.06132	0	0.162	0.08602	0.02492	0.09722	0.03815	0.1688	0.1616	0.06034	0.1861	0.1114
102725121	0.9059	0.3411	0.4669	0.2609	0.3065	0.1465	0.2886	0.0576	0.1114	0.1653	0.07693	0.5481	0.1402	0.138
102723897	4.268	8.312	7.45	2.072	5.345	4.345	3.625	3.889	1.592	7.413	5.249	6.052	4.784	7.765
102465909	3.058	2.016	3.775	1.85	2.897	3.709	3.209	1.361	2.193	2.187	2.377	4.857	1.441	1.359
107985721	0.1098	0.02532	0.007296	0.1395	0.04854	0	0	0	0	0.003925	0.08786	0.008137	0	0
112268260	0.009012	0.002079	0.008984	0.01272	0.02822	0.0153	0.0331	0.00351	0.009049	0.009667	0.0375	0.01336	0.001486	0.008408
729759	0	0	0	0.2679	0.04662	0	0	0	0	0	0.02025	0.02345	0	0
100132287	0.07478	0.1411	0.0881	0	0.1778	0.1385	0.06866	0.1668	0.02731	0.192	0.1676	0.1159	0.1906	0.1987
105378947	0	0.00585	0	0	0.05139	0	0	0.004938	0	0.009067	0.069	0.009398	0.008362	0
101928626	0	0	0	0	0	0	0	0	0	0.01331	0.0715	0	0	0
113219467	225.5	142.1	21.83	406.3	50.25	27	142.1	28.68	147.1	33.51	21.03	79.39	58.78	84.32
81399	0.04626	0.002371	0.003416	0.1016	0.03219	0.005819	0.01888	0.004003	0.03097	0.003676	0.04113	0.01143	0.01017	0.003197
100133331	0.08343	0.1091	0.1086	0.03925	0.1639	0.1614	0.1085	0.1949	0.06283	0.2014	0.1758	0.1134	0.2155	0.1903
107984841	0.5454	0.37	0.3518	0.8604	0.3428	0.4177	0.707	0.2124	0.902	0.2524	0.2362	0.6658	0.1799	0.1596
107984847	2.695	0.9608	0.7735	1.297	0.9027	0.6588	1.631	0.5248	1.169	0.679	0.8235	1.544	0.6666	0.9144
107984849	1.061	0.4895	0.2468	0	0.1954	0.3604	0.09742	0.124	0.6392	0.1517	0.3736	0.3145	0.2099	0.198
100288069	4.096	1.869	1.707	0.9482	0.966	0.8709	1.97	1.156	1.197	0.6276	0.7075	1.606	0.7646	1.078
105378580	1.758	0.3414	0.3862	1.094	0.2386	0.4026	0.9184	0.268	1.063	0.1778	0.1536	0.4157	0.1754	0.2086
400728	1.131	0.3243	0.3809	1.035	0.259	0.3201	0.8279	0.1666	0.6138	0.1421	0.1859	0.2832	0.1764	0.3042
79854	1.895	0.8221	0.6296	1.114	0.6233	0.6767	1.388	0.7028	1.087	0.4597	0.5632	0.3845	0.2306	0.3508
643837	0.7497	0.2806	0.2459	0.8175	0.3378	0.2204	0.842	0.2519	0.6203	0.3474	0.2987	0.5866	0.1857	0.4343
107984850	0.4964	0.1731	0.1046	0	0.09366	0.04112	0	0	0	0.004329	0.003875	0	0.003992	0
284593	0.4354	0.05624	0.02893	0	0.01283	0.01971	0.07994	0.02713	0.01749	0.006226	0.005574	0	0.01148	0
284600	0	0	0.002559	0	0.01986	0	0.00707	0.005998	0	0.00826	0.02465	0.01712	0.01778	0.009579
100130417	0	0	0.006555	0	0	0	0	0	0	0.007053	0.006315	0	0	0
107985728	0	0	0	0	0.01501	0	0	0	0	0.005827	0.1095	0	0	0
148398	0.6739	0.8094	0.9111	0.4756	0.9203	0.9339	0.6614	1.004	0.665	1.699	1.458	0.973	1.111	1.359
26155	6.002	9.729	9.063	3.742	9.258	8.6	10.91	10.28	5.053	18.31	14.09	19.35	12	17.18
339451	0.1723	0.9452	1.226	0.1024	1.216	0.8108	0.1082	0.5719	0.05462	1.481	0.8329	0.5308	1.626	1.522
84069	0	0.006844	0.01725	0	0.1038	0.02519	0.04086	0.08377	0.02235	0.2679	0.3087	0.09346	0.1419	0.1984
84808	0	0	0.002731	0	0.06964	0.01396	0.01509	0.0128	0.008252	0.03232	0.05524	0.04873	0.03523	0.005112
57801	0.04642	0.2784	0.3291	0.02184	0.724	0.1927	0.5114	1.5	0.2175	17.86	7.449	1.089	6.965	5.274
9636	0.6529	5.336	1.1	1.909	111.7	116.3	69.33	1093	10.21	1943	1854	276.6	979.2	1504
375790	0.01462	0.3052	0.2041	0.04128	1.165	0.5297	0.4867	0.494	0.1615	6.585	1.623	1.88	4.742	2.644
100288175	0.244	0.1829	0.1318	0.775	0.7304	0.4489	9.354	1.307	7.106	8.441	3.642	13.72	7.151	6.944
112267874	0.09892	0.09127	0.179	0.4344	0.2713	0.1244	1.221	0.09845	0.7174	0.5187	0.2779	1.409	0.5473	0.5469
105378948	0.2951	0.2628	0.2434	0.5744	0.506	0.4838	3.12	0.3447	2.309	1.99	0.7979	4.049	1.926	1.841
401934	0	0.007213	0.01039	0	0.04608	0.0177	0.01436	0.01218	0	0.05591	0.1001	0.06953	0.07219	0.0389
54991	0.1588	1.702	1.798	0.3966	1.782	1.521	0.6393	1.518	0.3189	3.494	2.675	0.9144	2.324	2.226
254099	0	0.01692	0.04266	0	0.03378	0	0.01684	0.02857	0	0.02623	0.09392	0.02718	0	0
406984	0	0	0	0	0	0	0	0	0	0	1.001	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0.2113	0	0	0
554210	0	0	0	0	0.1319	0	0	0	0	0	0	0	0	0
100506376	0	0.04595	0.002364	0	0.02359	0.004027	0.006532	0	0	0.005087	0.02505	0	0	0
254173	0	0.02552	0.01379	0	0.06115	0	0	0.005386	0.04166	0.007418	0.08854	0.01025	0.004561	0
8784	0.02418	0.2454	0.2049	0.01707	0.3831	0.08898	0.2109	0.3014	0.02428	2.218	0.5496	0.3943	1.124	0.3911
7293	0.08902	0.3397	0.3953	0.01142	0.7811	0.4489	0.1635	0.6618	0	1.808	0.5518	0.2579	0.8646	0.6946
51150	2.599	9.257	9.712	0.7727	9.485	8.916	5.248	11.78	1.649	17.39	13.36	9.381	9.715	12.55
126792	4.766	4.217	2.967	6.339	5.139	4.239	5.99	2.834	5.881	6.229	4.814	6.806	4.086	5.336
388581	0	0.3036	0.4223	0	0.2258	0.02569	0	0.08838	0	0.1948	0.2397	0	0.1347	0.02823
118424	4.206	3.941	3.257	5.366	3.912	3.459	6.176	3.892	5.283	6.047	5.102	7.341	4.448	5.492
101928895	0.01778	0.3773	0.3663	0	0.2816	0.08051	0.03265	0.01385	0	0.01907	0.03984	0.01318	0.03518	0.04423
6339	0.0681	0.3052	0.4234	0.01373	0.3584	0.1872	0	0.01137	0	0.05217	0.1059	0.06489	0.04491	0.00605
116983	0.7033	2.492	2.669	0.2719	3.162	2.46	0.7527	0.792	0.2114	2.455	1.504	1.215	1.462	1.466
102465434	0	0.674	0.1618	0	0.8971	0.827	0.4472	0	0	0.3483	0.1559	0.361	0	0.3029
109623456	1.415	1.958	1.763	0.4992	2.736	2.002	0	0.2755	0.3551	1.265	1.132	1.311	0.5831	1.32
126789	1.305	2.543	2.293	1.099	3.17	2.799	2.009	2.737	1.352	4.175	3.697	2.573	2.623	3.468
54973	3.808	8.581	8.419	2.568	8.739	7.477	7.481	10.24	3.711	17.4	13.48	14.37	11.17	15.8
102465435	0	0	0.7594	0	1.347	1.035	0	0.712	0	0.6537	1.317	0.3387	0.6029	1.137
80772	0.3419	1.203	1.237	0.1103	1.904	1.742	0.7355	1.933	0.618	3.633	3.118	1.282	2.191	3.5
83756	0.1235	0.4598	0.3229	0.01163	0.2852	0.2191	0.0605	0.08019	0.04135	0.2356	0.2716	0.09157	0.1304	0.07172
1855	0.3555	3.919	3.815	0.1129	3.919	2.43	0.3672	0.9483	0.1695	3.136	2.611	0.8299	1.738	2.255
102466740	0	0.6969	0.3346	0	0.742	0.285	0	0	0	0.9002	0.3224	0.3732	0.6642	0
54587	0.4663	1.056	1.289	0.09526	1.243	0.6946	0.1859	0.07168	0.06161	0.1777	0.1493	0.1455	0.087	0.1526
54998	1.281	9.688	10.7	0.4239	12.05	11.24	3.051	11.56	0.7639	19.63	15.92	7.404	11.27	16.19
81669	18.09	9.931	8.017	34.15	10.11	8.959	20.18	6.329	17.49	8.716	7.159	16.9	7.2	10.2
148413	11.98	7.237	5.981	25.33	9.386	9.341	18.99	8.168	16.4	11.78	10.21	20.15	7.813	11.85
55052	38.55	18.44	11.91	83.47	20.53	21.21	60.64	19.34	59.04	28.66	22.65	63.23	24.44	34.06
107984868	0.07709	0.01067	0.007684	0.07616	0.03124	0.02618	0.09909	0.009006	0.1161	0.008269	0.02221	0.07427	0.005084	0.01438
441869	0.6493	0.5129	0.269	0.3515	0.3605	0.1208	0.01633	0.006928	0.07145	0.1209	0.0541	0.1318	0.06453	0.05532
105378585	0.07825	0.2286	0.03467	0.7363	0.03844	0	0	0	0	0.01865	0.0501	0	0	0
643965	0	0	0	0	0.04449	0.03418	0	0	0	0.04318	0.1933	0	0.03982	0.03756
102724312	0	0	0.008268	0	0.04583	0.01408	0	0.01938	0.1249	0.01779	0.07965	0	0	0
107985729	0	0.0281	0.006748	0.1433	0.05237	0	0	0	0	0.007261	0.052	0	0	0
64856	0	0	0.002198	0	0.02437	0	0	0	0	0	0.0995	0	0.002181	0
219293	0	0.0603	0.09197	0.01085	0.1331	0.09575	0.007059	0.1317	0	0.1649	0.219	0.04559	0.1217	0.1626
83858	1.55	2.869	3.219	0.3278	2.673	2.938	2.724	4.971	1.057	6.187	5.447	4.096	4.147	5.109
55210	0.4016	2.698	3.1	0.1017	3.578	3.492	1.286	6.974	0.4963	7.714	7.832	3.633	4.201	6.366
339453	0	0	0	0	0.08718	0.01218	0	0.01676	0	0.007692	0.1722	0	0.02128	0.0669
29101	26.28	17.05	12.02	45.4	12.78	11.45	29.04	11.11	30.67	19.21	13.72	26.49	14.02	20.41
643988	0	0.02581	0.01859	0	0.01546	0.01583	0	0.01089	0	0.005001	0.06716	0	0	0.0261
105378586	0.1039	0.09584	0.03452	0	0.01913	0.0294	0.1907	0.02023	0.05215	0	0.0665	0	0.03425	0
142678	0.7203	2.914	3.298	0.3029	4.189	3.087	0.2983	0.5276	0.1231	0.9897	0.7133	0.2363	0.5024	0.6082
8510	0.215	3.625	2.286	0.1821	4.894	2.257	0.1382	0.1005	0.09714	0.1422	0.2271	0.1115	0.09215	0.127
984	8.9	5.149	3.971	9.073	4.107	3.762	11.24	4.243	11.14	6.177	5.242	9.442	4.145	6.713
728661	14.34	8.464	6.714	13.93	7.255	6.39	6.049	1.544	4.88	3.298	2.256	5.677	2.336	3.421
8511	0.1967	9.455	6.984	0.1851	12.23	5.55	0.03011	0.03831	0	0.1759	0.2309	0.0243	0.04325	0.04079
728642	18.98	7.343	6.606	19.72	5.943	5.288	13.16	5.079	13.58	6.729	5.534	10.29	4.529	7.737
9906	14.52	6.116	4.893	17	4.983	5.038	5.375	0.9957	4.779	1.933	1.394	5	1.403	2.163
112268218	9.036	6.172	6.262	21.07	9.238	8.896	2.094	1.27	2.041	2.154	1.652	1.95	1.398	1.955
65220	29.46	25.58	25.88	46.6	44.21	45.63	11.6	9.145	9.104	14.18	12.04	13.85	9.356	14.19
2782	147.2	63.06	49.6	198	43.44	46.69	142.3	36.82	152.4	65.9	54.44	137.7	53.51	78
105378949	0.1213	0.5221	0.188	0.3994	0.6627	0.2402	0.05567	0.03935	0	0.06503	0.1747	0.02996	0.07331	0.1006
163688	0.397	0.464	0.4485	0.03736	0.7069	0.4195	0.06075	0.005153	0.01329	0.04258	0.03389	0.08827	0.02618	0
339456	0.03177	0.07329	0.1056	0	0.3512	0.2158	0	0.02475	0.03191	0.03408	0.1322	0	0.03143	0.07905
85452	0	0	0	0	0.03106	0	0	0	0	0.001435	0.0347	0.002975	0	0
107984872	0	0	0	0	0.02737	0	0	0	0	0	0.02039	0	0	0
105378589	0	0	0	0	0.01383	0	0	0	0	0	0.01803	0	0	0
2563	0.02898	0.02941	0.02118	0	0.06406	0.0164	0	0	0	0.002072	0.05566	0	0.005734	0
105378590	0	0	0	0	0.01476	0	0	0	0	0	0.0171	0	0	0
105378591	0	0	0	0	0.02027	0	0	0.04285	0	0.01967	0.1585	0	0	0
5590	0.3558	0.3153	0.2902	0.3824	0.4544	0.3044	0.2376	0.2551	0.2883	0.48	0.3844	0.5245	0.4267	0.4753
100506504	0.1186	0.175	0.1339	0	0.07862	0.04026	0.04354	0.06463	0	0.02543	0.06072	0.01757	0.01564	0.118
199990	0.4204	1.069	1.106	0.2459	1.069	0.8575	0.379	0.4779	0.2662	1.108	0.8947	0.5867	0.6757	0.7797
112268219	0.4338	0.5234	0.8279	0.1099	0.6966	0.5918	0.3166	0.3595	0.3016	0.68	0.5554	0.5029	0.4438	0.6295
105378593	0.02882	0.226	0.1532	0.6508	0.05308	0.03262	0	0.01122	0	0.02061	0.1107	0.1068	0.02851	0.1075
6497	0.3357	0.4238	0.4525	0.2199	0.4037	0.3132	0.111	0.07113	0.07821	0.05954	0.1522	0.04379	0.04783	0.1336
79906	0.4982	0.4751	0.6049	0.142	0.6512	0.6291	0.2639	0.1754	0.0481	0.2055	0.2331	0.1882	0.1279	0.2145
100129534	0.3304	0.4268	0.4787	0.7648	0.3506	0.3067	0.02427	0.06176	0.05308	0.08033	0.05499	0.06856	0.01743	0.00822
11079	28.96	13.26	10.42	34.88	12.77	12.76	41.55	15.07	36.86	21.52	17.19	38.12	14.09	20.44
5192	3.018	3.293	2.581	2.928	2.593	2.453	3.034	2.2	3.232	3.974	3.297	4.484	2.924	4.955
9651	0.04491	0.1761	0.25	0.005283	0.2413	0.1441	0.006873	0.04372	0	0.1017	0.1509	0.02774	0.0506	0.0419
55229	1.173	1.434	1.306	1.909	2.484	2.15	2.58	1.843	1.977	3.619	2.724	3.734	2.444	3.599
388585	0	0.05607	0	0	0.05757	0.01966	0	0.006762	0	0.01242	0.1501	0	0	0
115110	0.3023	0.9733	1.109	0.009079	1.403	1.154	0.1949	0.3457	0.03875	0.3082	0.5765	0.1382	0.1654	0.328
8764	2.912	4.638	6.32	2.553	4.822	5.327	2.056	2.271	1.234	2.254	3.433	1.507	1.115	2.766
100996583	0.5108	0.2356	0.2546	0.3004	0.4861	0.795	0.2345	0.03315	0.2992	0.06087	0.109	0.1577	0.1123	0.02647
127281	0.4316	0.493	0.4678	0.0145	0.6512	0.3897	0.2076	0.1641	0.2064	0.1286	0.1875	0.1523	0.09827	0.1981
79258	0.00894	0.03712	0.06833	0	0.07905	0.06073	0.008209	0.01393	0.008977	0.02557	0.04007	0.006626	0.008844	0.01668
105378597	0.02829	0	0	0	0.03127	0	0	0.02204	0	0.02023	0.08151	0.06291	0	0.07039
100287898	0.05875	0.02904	0.01394	0	0.04792	0.03563	0.007705	0.001634	0.01685	0.007502	0.06313	0.01244	0.01107	0.01044
105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0.01224	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0.01224	0	0	0
112268220	0	0	0	0	0.01099	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0.02314	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0.01224	0	0	0
